Date,AAPL,AAPLProfit Rate All Time,AAPLProfit Rate One Year,ADBE,ADBEProfit Rate All Time,ADBEProfit Rate One Year,ADSK,ADSKProfit Rate All Time,ADSKProfit Rate One Year,AMAT,AMATProfit Rate All Time,AMATProfit Rate One Year,AMD,AMDProfit Rate All Time,AMDProfit Rate One Year,AMZN,AMZNProfit Rate All Time,AMZNProfit Rate One Year,APPS,APPSProfit Rate All Time,APPSProfit Rate One Year,ASML,ASMLProfit Rate All Time,ASMLProfit Rate One Year,ATVI,ATVIProfit Rate All Time,ATVIProfit Rate One Year,AVGO,AVGOProfit Rate All Time,AVGOProfit Rate One Year,BABA,BABAProfit Rate All Time,BABAProfit Rate One Year,BIG,BIGProfit Rate All Time,BIGProfit Rate One Year,BLDR,BLDRProfit Rate All Time,BLDRProfit Rate One Year,BMY,BMYProfit Rate All Time,BMYProfit Rate One Year,CDNS,CDNSProfit Rate All Time,CDNSProfit Rate One Year,CHGG,CHGGProfit Rate All Time,CHGGProfit Rate One Year,COUP,COUPProfit Rate All Time,COUPProfit Rate One Year,CRM,CRMProfit Rate All Time,CRMProfit Rate One Year,CROX,CROXProfit Rate All Time,CROXProfit Rate One Year,DG,DGProfit Rate All Time,DGProfit Rate One Year,DHI,DHIProfit Rate All Time,DHIProfit Rate One Year,DHR,DHRProfit Rate All Time,DHRProfit Rate One Year,EBS,EBSProfit Rate All Time,EBSProfit Rate One Year,EDU,EDUProfit Rate All Time,EDUProfit Rate One Year,ENTG,ENTGProfit Rate All Time,ENTGProfit Rate One Year,ETSY,ETSYProfit Rate All Time,ETSYProfit Rate One Year,FB,FBProfit Rate All Time,FBProfit Rate One Year,FIZZ,FIZZProfit Rate All Time,FIZZProfit Rate One Year,FNV,FNVProfit Rate All Time,FNVProfit Rate One Year,GNRC,GNRCProfit Rate All Time,GNRCProfit Rate One Year,GOOGL,GOOGLProfit Rate All Time,GOOGLProfit Rate One Year,HOLX,HOLXProfit Rate All Time,HOLXProfit Rate One Year,HZNP,HZNPProfit Rate All Time,HZNPProfit Rate One Year,INTU,INTUProfit Rate All Time,INTUProfit Rate One Year,JD,JDProfit Rate All Time,JDProfit Rate One Year,LOGI,LOGIProfit Rate All Time,LOGIProfit Rate One Year,LOW,LOWProfit Rate All Time,LOWProfit Rate One Year,LRCX,LRCXProfit Rate All Time,LRCXProfit Rate One Year,MELI,MELIProfit Rate All Time,MELIProfit Rate One Year,MNST,MNSTProfit Rate All Time,MNSTProfit Rate One Year,MRVL,MRVLProfit Rate All Time,MRVLProfit Rate One Year,MSFT,MSFTProfit Rate All Time,MSFTProfit Rate One Year,MU,MUProfit Rate All Time,MUProfit Rate One Year,NOW,NOWProfit Rate All Time,NOWProfit Rate One Year,NVDA,NVDAProfit Rate All Time,NVDAProfit Rate One Year,PFSI,PFSIProfit Rate All Time,PFSIProfit Rate One Year,PKI,PKIProfit Rate All Time,PKIProfit Rate One Year,POOL,POOLProfit Rate All Time,POOLProfit Rate One Year,PYPL,PYPLProfit Rate All Time,PYPLProfit Rate One Year,QCOM,QCOMProfit Rate All Time,QCOMProfit Rate One Year,RBA,RBAProfit Rate All Time,RBAProfit Rate One Year,REGN,REGNProfit Rate All Time,REGNProfit Rate One Year,SHOP,SHOPProfit Rate All Time,SHOPProfit Rate One Year,SNPS,SNPSProfit Rate All Time,SNPSProfit Rate One Year,SQ,SQProfit Rate All Time,SQProfit Rate One Year,TAL,TALProfit Rate All Time,TALProfit Rate One Year,TER,TERProfit Rate All Time,TERProfit Rate One Year,TMO,TMOProfit Rate All Time,TMOProfit Rate One Year,TREX,TREXProfit Rate All Time,TREXProfit Rate One Year,TSLA,TSLAProfit Rate All Time,TSLAProfit Rate One Year,TSM,TSMProfit Rate All Time,TSMProfit Rate One Year,TTD,TTDProfit Rate All Time,TTDProfit Rate One Year,TXN,TXNProfit Rate All Time,TXNProfit Rate One Year,VEEV,VEEVProfit Rate All Time,VEEVProfit Rate One Year,VIRT,VIRTProfit Rate All Time,VIRTProfit Rate One Year,VIVO,VIVOProfit Rate All Time,VIVOProfit Rate One Year,WDAY,WDAYProfit Rate All Time,WDAYProfit Rate One Year,WMT,WMTProfit Rate All Time,WMTProfit Rate One Year,WST,WSTProfit Rate All Time,WSTProfit Rate One Year,XLNX,XLNXProfit Rate All Time,XLNXProfit Rate One Year,Buy,Sell,Total,Total Profit Rate All Time,Total Profit Rate One Year
2018-01-02,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,33,4,352185.33,0.62,0.62
2018-01-03,4999.13,-0.02,-0.02,5093.98,1.88,1.88,5000.00,0.00,0.00,5088.61,1.77,1.77,5000.00,0.00,0.00,5063.88,1.28,1.28,5000.00,0.00,0.00,5037.98,0.76,0.76,5077.74,1.55,1.55,5054.67,1.09,1.09,5009.53,0.19,0.19,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5066.47,1.33,1.33,5000.00,0.00,0.00,5042.14,0.84,0.84,4973.01,-0.54,-0.54,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,4984.37,-0.31,-0.31,5000.00,0.00,0.00,5007.91,0.16,0.16,4899.18,-2.02,-2.02,5089.57,1.79,1.79,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5085.30,1.71,1.71,5000.00,0.00,0.00,5069.91,1.40,1.40,5013.88,0.28,0.28,5026.57,0.53,0.53,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5103.85,2.08,2.08,5000.00,0.00,0.00,5155.40,3.11,3.11,5023.27,0.47,0.47,5149.99,3.00,3.00,5000.00,0.00,0.00,5329.06,6.58,6.58,5000.00,0.00,0.00,5152.21,3.04,3.04,4994.65,-0.11,-0.11,5000.00,0.00,0.00,5056.74,1.13,1.13,5000.00,0.00,0.00,5000.00,0.00,0.00,5107.12,2.14,2.14,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5021.50,0.43,0.43,5091.73,1.83,1.83,5225.84,4.52,4.52,5000.00,0.00,0.00,5084.11,1.68,1.68,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5006.03,0.12,0.12,5000.00,0.00,0.00,14,3,353521.06,1.01,1.01
2018-01-04,5022.35,0.45,0.45,5155.32,3.11,3.11,5000.00,0.00,0.00,5117.84,2.36,2.36,5246.75,4.94,4.94,5086.54,1.73,1.73,4959.89,-0.80,-0.80,5084.98,1.70,1.70,5027.21,0.54,0.54,5056.36,1.13,1.13,5056.08,1.12,1.12,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5033.23,0.66,0.66,5000.00,0.00,0.00,5108.71,2.17,2.17,4895.91,-2.08,-2.08,5000.00,0.00,0.00,4925.27,-1.49,-1.49,5024.02,0.48,0.48,4980.20,-0.40,-0.40,5000.00,0.00,0.00,5094.79,1.90,1.90,4855.98,-2.88,-2.88,5080.20,1.60,1.60,5000.00,0.00,0.00,5000.00,0.00,0.00,5034.18,0.68,0.68,5105.06,2.10,2.10,5032.19,0.64,0.64,5116.51,2.33,2.33,5103.65,2.07,2.07,5045.06,0.90,0.90,5000.00,0.00,0.00,5039.12,0.78,0.78,5022.85,0.46,0.46,5051.15,1.02,1.02,5000.00,0.00,0.00,5272.50,5.45,5.45,5067.48,1.35,1.35,5367.53,7.35,7.35,5000.00,0.00,0.00,5357.15,7.14,7.14,5000.00,0.00,0.00,5165.74,3.31,3.31,5033.16,0.66,0.66,4998.70,-0.03,-0.03,5063.64,1.27,1.27,5000.00,0.00,0.00,5000.00,0.00,0.00,5211.39,4.23,4.23,5047.67,0.95,0.95,5105.87,2.12,2.12,5000.00,0.00,0.00,5045.27,0.91,0.91,5155.46,3.11,3.11,5007.79,0.16,0.16,5000.00,0.00,0.00,5057.29,1.15,1.15,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5193.97,3.88,3.88,5004.53,0.09,0.09,5004.52,0.09,0.09,5000.00,0.00,0.00,6,3,356976.81,1.99,1.99
2018-01-05,5079.52,1.59,1.59,5214.97,4.30,4.30,5000.00,0.00,0.00,5147.06,2.94,2.94,5142.86,2.86,2.86,5168.75,3.38,3.38,5240.64,4.81,4.81,5144.61,2.89,2.89,5160.16,3.20,3.20,5086.31,1.73,1.73,5191.94,3.84,3.84,5113.86,2.28,2.28,5000.00,0.00,0.00,5011.34,0.23,0.23,5047.04,0.94,0.94,5072.51,1.45,1.45,5003.02,0.06,0.06,5176.71,3.53,3.53,4703.16,-5.94,-5.94,5000.00,0.00,0.00,4965.00,-0.70,-0.70,5055.51,1.11,1.11,5115.70,2.31,2.31,5000.00,0.00,0.00,5173.78,3.48,3.48,4860.78,-2.78,-2.78,5149.65,2.99,2.99,5000.00,0.00,0.00,5000.00,0.00,0.00,5068.37,1.37,1.37,5172.75,3.46,3.46,5056.33,1.13,1.13,5143.14,2.86,2.86,5169.80,3.40,3.40,5272.64,5.45,5.45,5000.00,0.00,0.00,5147.79,2.96,2.96,5101.30,2.03,2.03,5128.50,2.57,2.57,5010.26,0.21,0.21,5180.18,3.60,3.60,5130.31,2.61,2.61,5243.87,4.88,4.88,5000.00,0.00,0.00,5402.56,8.05,8.05,5000.00,0.00,0.00,5204.97,4.10,4.10,5039.26,0.79,0.79,5127.04,2.54,2.54,5097.39,1.95,1.95,5000.00,0.00,0.00,5000.00,0.00,0.00,5241.26,4.83,4.83,5107.40,2.15,2.15,5513.27,10.27,10.27,5000.00,0.00,0.00,5161.84,3.24,3.24,5243.82,4.88,4.88,5100.32,2.01,2.01,5000.00,0.00,0.00,5175.53,3.51,3.51,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5153.59,3.07,3.07,5197.30,3.95,3.95,5034.19,0.68,0.68,5067.34,1.35,1.35,5259.61,5.19,5.19,2,3,358609.62,2.46,2.46
2018-01-08,5060.67,1.21,1.21,5206.53,4.13,4.13,5000.00,0.00,0.00,5271.50,5.43,5.43,5316.02,6.32,6.32,5243.31,4.87,4.87,5240.64,4.81,4.81,5171.61,3.43,3.43,5180.37,3.61,3.61,5098.49,1.97,1.97,5181.87,3.64,3.64,5106.79,2.14,2.14,5000.00,0.00,0.00,5012.95,0.26,0.26,5153.74,3.07,3.07,5090.63,1.81,1.81,5009.06,0.18,0.18,5213.10,4.26,4.26,5100.23,2.00,2.00,5000.00,0.00,0.00,5000.94,0.02,0.02,5084.34,1.69,1.69,4964.56,-0.71,-0.71,5000.00,0.00,0.00,5276.46,5.53,5.53,4877.58,-2.45,-2.45,5189.06,3.78,3.78,5000.00,0.00,0.00,5000.00,0.00,0.00,4979.89,-0.40,-0.40,5191.02,3.82,3.82,5106.92,2.14,2.14,5169.77,3.40,3.40,5172.96,3.46,3.46,5325.79,6.52,6.52,5048.84,0.98,0.98,5091.83,1.84,1.84,5139.73,2.79,2.79,5282.26,5.65,5.65,5052.87,1.06,1.06,5218.45,4.37,4.37,5135.55,2.71,2.71,5215.25,4.31,4.31,5000.00,0.00,0.00,5568.10,11.36,11.36,5000.00,0.00,0.00,5193.47,3.87,3.87,5011.80,0.24,0.24,5149.84,3.00,3.00,5082.05,1.64,1.64,5000.00,0.00,0.00,5000.00,0.00,0.00,5325.15,6.50,6.50,5155.07,3.10,3.10,5462.34,9.25,9.25,5000.00,0.00,0.00,5227.48,4.55,4.55,5252.36,5.05,5.05,5050.39,1.01,1.01,5000.00,0.00,0.00,5173.10,3.46,3.46,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5051.17,1.02,1.02,5226.78,4.54,4.54,5108.60,2.17,2.17,5095.99,1.92,1.92,5294.37,5.89,5.89,2,2,357772.82,2.22,2.22
2018-01-09,5060.09,1.20,1.20,5253.24,5.06,5.06,5000.00,0.00,0.00,5171.57,3.43,3.43,5116.88,2.34,2.34,5267.83,5.36,5.36,5160.43,3.21,3.21,5143.77,2.88,2.88,5146.16,2.92,2.92,5027.89,0.56,0.56,5194.66,3.89,3.89,5031.78,0.64,0.64,5000.00,0.00,0.00,5008.09,0.16,0.16,5170.95,3.42,3.42,5045.32,0.91,0.91,4855.03,-2.90,-2.90,5226.99,4.54,4.54,5204.32,4.09,4.09,5000.00,0.00,0.00,4997.16,-0.06,-0.06,5263.69,5.27,5.27,4945.80,-1.08,-1.08,5000.00,0.00,0.00,5150.09,3.00,3.00,5016.80,0.34,0.34,5177.76,3.56,3.56,5000.00,0.00,0.00,5000.00,0.00,0.00,4861.25,-2.77,-2.77,5184.40,3.69,3.69,5083.93,1.68,1.68,5119.84,2.40,2.40,5205.42,4.11,4.11,5329.25,6.59,6.59,4997.13,-0.06,-0.06,5137.47,2.75,2.75,5131.68,2.63,2.63,5233.59,4.67,4.67,5167.30,3.35,3.35,5213.95,4.28,4.28,5132.06,2.64,2.64,4919.85,-1.60,-1.60,5000.00,0.00,0.00,5566.58,11.33,11.33,5000.00,0.00,0.00,5269.92,5.40,5.40,5011.80,0.24,0.24,5158.96,3.18,3.18,5005.36,0.11,0.11,5000.00,0.00,0.00,5000.00,0.00,0.00,5248.36,4.97,4.97,5151.05,3.02,3.02,5478.42,9.57,9.57,5000.00,0.00,0.00,5139.20,2.78,2.78,5339.94,6.80,6.80,5219.42,4.39,4.39,4959.57,-0.81,-0.81,5141.40,2.83,2.83,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,0.00,0.00,5017.05,0.34,0.34,5215.37,4.31,4.31,5047.26,0.95,0.95,5141.19,2.82,2.82,5308.56,6.17,6.17,6,2,356310.39,1.80,1.80
2018-01-10,5058.92,1.18,1.18,5264.77,5.30,5.30,5000.00,0.00,0.00,5024.51,0.49,0.49,5177.49,3.55,3.55,5274.68,5.49,5.49,5320.86,6.42,6.42,5083.84,1.68,1.68,5195.92,3.92,3.92,4921.71,-1.57,-1.57,5167.17,3.34,3.34,4996.47,-0.07,-0.07,5000.00,0.00,0.00,5021.05,0.42,0.42,5144.56,2.89,2.89,5042.30,0.85,0.85,4832.38,-3.35,-3.35,5210.23,4.20,4.20,5185.04,3.70,3.70,5028.12,0.56,0.56,4821.22,-3.58,-3.58,5243.94,4.88,4.88,4878.05,-2.44,-2.44,5000.00,0.00,0.00,5110.59,2.21,2.21,4863.18,-2.74,-2.74,5176.94,3.54,3.54,4963.28,-0.73,-0.73,5000.00,0.00,0.00,4764.73,-4.71,-4.71,5172.05,3.44,3.44,5008.05,0.16,0.16,5046.60,0.93,0.93,5163.09,3.26,3.26,5366.22,7.32,7.32,4966.96,-0.66,-0.66,5116.82,2.34,2.34,4978.16,-0.44,-0.44,5263.04,5.26,5.26,5018.15,0.36,0.36,5211.70,4.23,4.23,5108.78,2.18,2.18,4958.78,-0.82,-0.82,5000.00,0.00,0.00,5610.22,12.20,12.20,4903.24,-1.94,-1.94,5218.51,4.37,4.37,4969.51,-0.61,-0.61,5170.68,3.41,3.41,5004.60,0.09,0.09,5000.00,0.00,0.00,5000.00,0.00,0.00,5261.16,5.22,5.22,5130.94,2.62,2.62,5473.06,9.46,9.46,5000.00,0.00,0.00,5012.45,0.25,0.25,5344.87,6.90,6.90,5197.89,3.96,3.96,4976.07,-0.48,-0.48,5034.14,0.68,0.68,5000.00,0.00,0.00,5000.00,0.00,0.00,4969.84,-0.60,-0.60,5000.00,0.00,0.00,5153.59,3.07,3.07,5426.45,8.53,8.53,5011.06,0.22,0.22,5035.68,0.71,0.71,5256.06,5.12,5.12,3,2,358565.35,2.45,2.45
2018-01-11,5087.66,1.75,1.75,5315.70,6.31,6.31,5000.00,0.00,0.00,5015.09,0.30,0.30,5255.41,5.11,5.11,5368.67,7.37,7.37,5320.86,6.42,6.42,5023.07,0.46,0.46,5383.29,7.67,7.67,4934.27,-1.31,-1.31,5138.85,2.78,2.78,5072.37,1.45,1.45,5000.00,0.00,0.00,5058.30,1.17,1.17,5148.00,2.96,2.96,5114.80,2.30,2.30,5072.49,1.45,1.45,5224.60,4.49,4.49,5246.72,4.93,4.93,5209.02,4.18,4.18,4922.43,-1.55,-1.55,5262.62,5.25,5.25,4896.81,-2.06,-2.06,5000.00,0.00,0.00,5134.29,2.69,2.69,4935.19,-1.30,-1.30,5175.01,3.50,3.50,4856.02,-2.88,-2.88,5000.00,0.00,0.00,4928.61,-1.43,-1.43,5180.95,3.62,3.62,5006.90,0.14,0.14,5023.30,0.47,0.47,5146.98,2.94,2.94,5384.70,7.69,7.69,5028.72,0.57,0.57,5202.13,4.04,4.04,4912.19,-1.76,-1.76,5301.32,6.03,6.03,5047.35,0.95,0.95,5213.95,4.28,4.28,5123.91,2.48,2.48,4902.68,-1.95,-1.95,5000.00,0.00,0.00,5620.26,12.41,12.41,4892.48,-2.15,-2.15,5250.98,5.02,5.02,5013.34,0.27,0.27,5195.44,3.91,3.91,5017.63,0.35,0.35,5063.62,1.27,1.27,5000.00,0.00,0.00,5267.32,5.35,5.35,5152.19,3.04,3.04,5668.72,13.37,13.37,5000.00,0.00,0.00,5039.61,0.79,0.79,5406.27,8.13,8.13,5349.98,7.00,7.00,5022.89,0.46,0.46,5001.23,0.02,0.02,5000.00,0.00,0.00,5000.00,0.00,0.00,5002.58,0.05,0.05,5040.20,0.80,0.80,5273.02,5.46,5.46,5431.21,8.62,8.62,5028.66,0.57,0.57,4979.40,-0.41,-0.41,5273.08,5.46,5.46,11,1,360088.62,2.88,2.88
2018-01-12,5140.19,2.80,2.80,5488.18,9.76,9.76,5116.99,2.34,2.34,5038.66,0.77,0.77,5203.46,4.07,4.07,5488.60,9.77,9.77,5320.86,6.42,6.42,5088.35,1.77,1.77,5470.38,9.41,9.41,4949.06,-1.02,-1.02,5112.71,2.25,2.25,5063.54,1.27,1.27,5073.46,1.47,1.47,5085.83,1.72,1.72,5170.95,3.42,3.42,5057.40,1.15,1.15,5134.40,2.69,2.69,5279.19,5.58,5.58,5250.58,5.01,5.01,5257.29,5.15,5.15,4910.13,-1.80,-1.80,5305.33,6.11,6.11,4955.18,-0.90,-0.90,5000.00,0.00,0.00,5134.29,2.69,2.69,4690.35,-6.19,-6.19,4943.50,-1.13,-1.13,4894.19,-2.12,-2.12,5000.00,0.00,0.00,4953.75,-0.92,-0.92,5267.61,5.35,5.35,5025.29,0.51,0.51,5053.26,1.07,1.07,5194.68,3.89,3.89,5360.44,7.21,7.21,5145.08,2.90,2.90,5480.33,9.61,9.61,4896.37,-2.07,-2.07,5308.30,6.17,6.17,5032.35,0.65,0.65,5369.35,7.39,7.39,5212.33,4.25,4.25,4901.53,-1.97,-1.97,5000.00,0.00,0.00,5592.67,11.85,11.85,5032.27,0.65,0.65,5336.90,6.74,6.74,5001.53,0.03,0.03,5246.91,4.94,4.94,5013.80,0.28,0.28,5104.96,2.10,2.10,5000.00,0.00,0.00,5346.48,6.93,6.93,5190.10,3.80,3.80,5528.01,10.56,10.56,5000.00,0.00,0.00,5047.53,0.95,0.95,5445.40,8.91,8.91,5369.22,7.38,7.38,4997.18,-0.06,-0.06,5020.73,0.41,0.41,5000.00,0.00,0.00,5000.00,0.00,0.00,5029.30,0.59,0.59,5093.85,1.88,1.88,5221.84,4.44,4.44,5367.50,7.35,7.35,5071.39,1.43,1.43,4911.56,-1.77,-1.77,5295.79,5.92,5.92,6,1,357536.45,2.15,2.15
2018-01-16,5114.07,2.28,2.28,5415.31,8.31,8.31,4943.49,-1.13,-1.13,5137.63,2.75,2.75,5155.84,3.12,3.12,5487.17,9.74,9.74,5213.90,4.28,4.28,5243.36,4.87,4.87,5342.09,6.84,6.84,4929.58,-1.41,-1.41,4965.97,-0.68,-0.68,5106.79,2.14,2.14,4930.99,-1.38,-1.38,4851.82,-2.96,-2.96,5080.31,1.61,1.61,4897.28,-2.05,-2.05,5202.36,4.05,4.05,5214.54,4.29,4.29,5165.77,3.32,3.32,5222.28,4.45,4.45,4807.98,-3.84,-3.84,5309.60,6.19,6.19,5088.60,1.77,1.77,5000.00,0.00,0.00,5102.70,2.05,2.05,4644.74,-7.11,-7.11,4916.49,-1.67,-1.67,4905.78,-1.88,-1.88,5000.00,0.00,0.00,4925.60,-1.49,-1.49,5267.84,5.36,5.36,5029.89,0.60,0.60,4866.84,-2.66,-2.66,5124.56,2.49,2.49,5367.38,7.35,7.35,5135.02,2.70,2.70,5486.31,9.73,9.73,4945.18,-1.10,-1.10,5267.69,5.35,5.35,5094.70,1.89,1.89,5310.80,6.22,6.22,5139.61,2.79,2.79,4914.13,-1.72,-1.72,5000.00,0.00,0.00,5520.69,10.41,10.41,4956.99,-0.86,-0.86,5312.54,6.25,6.25,4907.75,-1.85,-1.85,5239.09,4.78,4.78,5233.89,4.68,4.68,5100.20,2.00,2.00,5000.00,0.00,0.00,5304.77,6.10,6.10,5126.92,2.54,2.54,5269.36,5.39,5.39,5000.00,0.00,0.00,5127.89,2.56,2.56,5389.43,7.79,7.79,5010.54,0.21,0.21,5054.25,1.08,1.08,5147.50,2.95,2.95,5000.00,0.00,0.00,5000.00,0.00,0.00,4869.03,-2.62,-2.62,5026.82,0.54,0.54,5221.84,4.44,4.44,5233.91,4.68,4.68,5062.34,1.25,1.25,4916.08,-1.68,-1.68,5232.66,4.65,4.65,6,2,363800.30,3.94,3.94
